epoch,acc,loss,val_acc,val_loss
0,0.5726940883190883,1.3534114911006048,0.6899038461538461,1.0495516795378466
1,0.7345114993547497,0.9180203132991549,0.6629720853858785,1.2655106640997387
2,0.7835621322767686,0.7905687751202983,0.7606732348111659,0.8862636035494812
3,0.8122214298448921,0.7188896953496391,0.7822249589490968,0.8214916203213835
4,0.8321001961240158,0.6611036723534423,0.8017241379310345,0.7739191969431484
5,0.8464967016868571,0.6294282556302748,0.708743842364532,1.0516430296138395
6,0.8601354964915646,0.5928648184233754,0.7826354679802956,0.8317463581980938
7,0.8676457479370323,0.5728758738988392,0.8019293924466339,0.7937133299501854
8,0.8769388483220572,0.5528361614873902,0.8505747126436781,0.6413691200450528
9,0.8836913887968588,0.5375703330621466,0.805623973727422,0.8108136695985528
10,0.8891513638794795,0.5286793800508898,0.8423645320197044,0.654316738810641
11,0.8948787662791237,0.5088576748422557,0.8298440065681445,0.7326325709107279
12,0.8965501871672644,0.5118314986412571,0.8351806239737274,0.7083676766683706
13,0.9027233018150812,0.5053234969279541,0.8450328407224958,0.6849350349852212
14,0.9079827063222645,0.49247701643282216,0.8366174055829229,0.7011181415595444
15,0.9105455518130164,0.488815796919357,0.8152709359605911,0.7908124203850287
16,0.9114146906863264,0.4896938944696041,0.8493431855500821,0.6785346245139299
17,0.9156712426882543,0.48512624742662147,0.805008210180624,0.8313466555183548
18,0.9169860938097368,0.48278514590571964,0.8386699507389163,0.7195262288420854
19,0.9227357818111631,0.47245791127261344,0.8353858784893268,0.7812556132111448
20,0.9253431983992131,0.4749142572105749,0.8466748768472906,0.7233009594806113
21,0.924540916416262,0.47803199480382874,0.8575533661740559,0.730550790165837
22,0.9250534854272743,0.4774023774505873,0.8419540229885057,0.767088020180638
23,0.9287751826995153,0.4745177966926926,0.8222495894909688,0.8285986061753898
